0:>MW183932.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC14804/2020, complete genome
1:>MW672644.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ISR/hCov-19-Israel-CVL-n2494/2020, complete genome
2:>MW694131.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-CDC-STM-000013438/2021, complete genome
3:>MW490895.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL-BPHL-2302/2020, complete genome
4:>LC593804.1 |Severe acute respiratory syndrome coronavirus 2 TKYE622388_2020 genomic RNA, complete genome
5:>MW668909.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NV-CDC-21708130/2021, complete genome
6:>MW523818.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/PA-CDC-STM-A100361/2021, complete genome
7:>MW583321.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-STM-000001673/2021, complete genome
8:>MT971082.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC5048/2020, complete genome
9:>MW669161.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/LA-CDC-21841615/2021, complete genome
10:>MW338788.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-2046/2020, complete genome
11:>MT993864.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA-DCLS-1244/2020, complete genome
12:>MW523824.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NC-CDC-STM-A100350/2021, complete genome
13:>MW070089.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NMDOH-2020321648/2020, complete genome
14:>MW493716.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NYP-WCM-COVSUBJ_0119_1_P/2020, complete genome
15:>MW155526.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC11773/2020, complete genome
16:>MW617560.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IN-CDC-STM-000008430/2021, complete genome
17:>MT755901.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/BGD/BCSIR_NILMRC_227/2020, complete genome
18:>MW483312.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CZB-10236/2020, complete genome
19:>MW154298.1 |Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/AUS/VIC7480/2020, complete genome
